QUERYNO,QUERY,LOCAL,WHAT,WHAT-TYPE,GEO-RELATION,WHERE,LAT-LONG
5004,7 day weather welwyn garden city,YES,7 day weather,Information,,welwyn garden city,"51.80, -0.20"
5017,7 juniper path lanssale pa 19446,YES,,Map,,7 juniper path lanssale pa 19446,"40.23, -75.30"
5023,7 news colorado,YES,7 news,Information,,colorado,"38.99, -105.54"
7057,ABC NEWS CHICAGO,YES,ABC NEWS,Information,,CHICAGO,"41.90, -87.63"
7317,ABERDEEN AIRPORT,NO,,,,,
7412,ABERYSTWYTH,YES,,Map,,ABERYSTWYTH,"52.41, -4.08"
12155,Adirondack Mountains,YES,,Map,,Adirondack Mountains,"44.00, -74.00"
12157,Adirondack Park,NO,,,,,
20533,Alabama Schools,YES,Schools,Yellow page,,Alabama,"32.74, -86.84"
20543,Alabama Shakespeare Festival,YES,Shakespeare Festival,Information,,Alabama,"32.74, -86.84"
20842,Alameda Superior Court,NO,,,,,
20901,Alamogordo Daily News,NO,,,,,
45193,articles written in 2006 on taxation of electronic commerce,NO,,,,,
51203,Attitudes to Education in young people,NO,,,,,
76684,bellevue fireplace store,YES,fireplace store,Yellow page,,bellevue,"47.61, -122.20"
77378,bendigo cinemas,YES,cinemas,Yellow page,,Bendigo,"-36.75, 144.28"
90490,bluefield regional medical center,YES,regional medical center,Yellow page,,bluefield,"37.25, -81.23"
90507,BLUEFISH,YES,,Map,,BLUEFISH,"66.40, -128.18"
90941,BMW Canada,YES,BMW,Yellow page,,Canada,"62.83, -95.91"
92430,Bodrum Hotels,YES,Hotels,Yellow page,,Bodrum,"37.03, 27.43"
94622,bookshop in singapore,YES,bookshop,Yellow page,IN,singapore,"1.32, 103.82"
99387,breast cancer care,NO,,,,,
106754,bumper to bumper auto parts shreveport la,YES,bumper to bumper auto parts shreveport la,Yellow page,,shreveport la,"32.47, -93.77"
107976,bus trips from columbia,YES,bus trips,Information,FROM,columbia,"34.00, -81.03"
111752,cabins to rent at lake tahoe,YES,cabins to rent,Yellow page,AT,lake tahoe,"39.08, -120.02"
119335,campbell river bc,YES,,Map,,campbell river bc,"49.98, -125.22"
124435,cannon mountain,YES,,Map,,cannon mountain,"44.15, -71.69"
131465,carpathian mountains,YES,,Map,,carpathian mountains,"48.75, 23.75"
131516,carpet cleaners in fort walton beach fl florida,YES,carpet cleaners,Yellow page,IN,fort walton beach fl florida,"30.40, -86.60"
156961,christie lake,YES,,Map,,christie lake,"56.91, -96.93"
